id,name,degree,peel,diversity,betweenness,pagerank
373,Justin Massey,0.03305785123966942,0.16666666666666666,0.540137880687222,0.00024984434176998687,0.021982642561534076
374,Jyck,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.005663844243099518
375,Karyl Vance,0.024793388429752067,0.16666666666666666,0.5620791768043331,0.00010878639047901511,0.0074798720136030564
376,Kasporio,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.0031901613691650375
377,Kedry,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.002498965376303554
378,Kegs,0.049586776859504134,0.3333333333333333,0.5480867959505417,5.137424277645355e-05,0.010431583025976177
379,Kella,0.0,0.0,0.0,0.0,1.6714073472529875e-05
380,Kerwin,0.0,0.0,0.0,0.0,0.008209287709042536
381,Kevan Lannister,0.1322314049586777,0.8333333333333334,0.6109725150545257,0.009854839396413547,0.057513916016375066
382,Khorane Sathmantes,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.0033041722076075078
383,Khrazz,0.03305785123966942,0.25,0.540137880687222,0.0038912371365298353,0.014064765991838063
384,Kindly Man,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.010251899689741136
385,Kojja Mo,0.008264462809917356,0.08333333333333333,0.0,0.0,0.0037909378886709106
386,Koss,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.001815041273755581
387,Kraznys mo Nakloz,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.005625258127443711
388,Kurleket,0.0,0.0,0.0,0.0,0.0006291594402256675
389,Kurz,0.0,0.0,0.0,0.0,0.010028782310974609
390,Kyra,0.0,0.0,0.0,0.0,0.0009626235266565368
391,Lambert Turnberry,0.01652892561983471,0.16666666666666666,0.0,5.5173958807538765e-06,0.005159518919922479
392,Lamprey,0.024793388429752067,0.16666666666666666,0.4215593827046134,5.5173958807538765e-06,0.0076137537151115195
393,Lancel Lannister,0.09090909090909091,0.6666666666666666,0.5004393623709769,0.0027079066677312812,0.04230230527660481
394,Lanna (Happy Port),0.0,0.0,0.0,0.0,0.0009428654060760252
395,Lark,0.04132231404958678,0.3333333333333333,0.5391170717417778,0.013475859467138236,0.0154107703403721
